Module                  Size  Used by
led_class              20480  4 snd_hda_codec_generic,input_leds,iwlmvm,thinkpad_acpi
xhci_hcd              315392  1 xhci_pci
crc64_rocksoft         20480  1 t10_pi
crc64                  20480  1 crc64_rocksoft
crc_t10dif             20480  1 t10_pi
atkbd                  36864  0
libps2                 20480  2 atkbd,psmouse
vivaldi_fmap           16384  1 atkbd
crct10dif_generic      16384  0
aesni_intel           393216  14
usbcore               335872  4 xhci_hcd,uvcvideo,btusb,xhci_pci
libaes                 16384  2 bluetooth,aesni_intel
crypto_simd            16384  1 aesni_intel
crct10dif_pclmul       16384  1
cryptd                 28672  4 crypto_simd,ghash_clmulni_intel
crct10dif_common       16384  3 crct10dif_generic,crc_t10dif,crct10dif_pclmul
usb_common             16384  3 xhci_hcd,usbcore,uvcvideo
i8042                  40960  0
rtc_cmos               28672  1
serio                  28672  6 serio_raw,atkbd,psmouse,i8042
btrfs                1695744  1
blake2b_generic        20480  0
libcrc32c              16384  3 nf_conntrack,btrfs,nf_tables
crc32c_generic         16384  0
crc32c_intel           24576  2
xor                    24576  1 btrfs
raid6_pq              122880  1 btrfs
zstd_compress         311296  1 btrfs
br_netfilter           36864  0
bridge                311296  1 br_netfilter
stp                    16384  1 bridge
llc                    16384  2 bridge,stp
dm_snapshot            53248  0
dm_bufio               40960  1 dm_snapshot
dm_mod                151552  13 dm_crypt,dm_snapshot,dm_bufio
dax                    45056  1 dm_mod
i915                 2990080  19
i2c_algo_bit           16384  1 i915
drm_buddy              20480  1 i915
cec                    61440  1 i915
intel_gtt              24576  1 i915
video                  61440  2 thinkpad_acpi,i915
drm_display_helper    163840  1 i915
drm_kms_helper        192512  2 drm_display_helper,i915
syscopyarea            16384  1 drm_kms_helper
sysfillrect            16384  1 drm_kms_helper
sysimgblt              16384  1 drm_kms_helper
fb_sys_fops            16384  1 drm_kms_helper
ttm                    86016  1 i915
agpgart                45056  2 intel_gtt,ttm
drm                   577536  12 drm_kms_helper,drm_display_helper,drm_buddy,thinkpad_acpi,i915,ttm
i2c_core              106496  15 i2c_designware_platform,videodev,i2c_hid,i2c_designware_core,drm_kms_helper,intel_hid,i2c_algo_bit,drm_display_helper,i2c_smbus,thinkpad_acpi,i2c_i801,i2c_hid_acpi,i915,psmouse,drm
backlight              24576  5 video,drm_display_helper,thinkpad_acpi,i915,drm
